Name,Price,URL,Rating,Number of Reviews
FUR JADEN Vegan Leather 30L 15.6 Inch Laptop Backpack for Men Women for Office Professionals and College Students,889,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDA3NTkwNjM1Mzk4NDY5OjE2Nzk1OTcxMjA6c3BfYXRmX25leHQ6MjAxMDA4NTUwOTg1OTg6OjA6Og&url=%2FFur-Jaden-resistant-Backpack-BM100_Brown%2Fdp%2FB07P5X6NSN%2Fref%3Dsr_1_49_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597120%26sprefix%3Dba%252Caps%252C283%26sr%3D8-49-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.2 out of 5 stars,"2,238"
"uppercase Medium 21L Quilted Laptop Backpack 2500EBP2 3x more water repellent sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty","1,400",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozNDA3NTkwNjM1Mzk4NDY5OjE2Nzk1OTcxMjA6c3BfYXRmX25leHQ6MjAxMDIyMjg5MTc5OTg6OjA6Og&url=%2Fuppercase-Backpack-2500EBP2-repellent-sustainable%2Fdp%2FB0BNVXG27V%2Fref%3Dsr_1_50_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1679597120%26sprefix%3Dba%252Caps%252C283%26sr%3D8-50-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.7 out of 5 stars,10
Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black,799,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_51?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-51,4.2 out of 5 stars,"54,845"
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,222,https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H/ref=sr_1_52?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-52,4.3 out of 5 stars,"2,956"
Trajectory 100% Vegan Leather 16 Inch Laptop Office Messenger bag for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men and Women,"1,399",https://www.amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_53?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-53,4.2 out of 5 stars,314
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),819,https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK/ref=sr_1_54?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-54,4.2 out of 5 stars,"1,539"
"Hammonds Flycatcher Genuine Leather Laptop Bag for Men/Office Bag for Men, Brown | Fits Upto 16 Inch Laptop/MacBook| Leather Bag with Shoulder Straps | Laptop Messenger Bag/Leather Bag for Men |","2,599",https://www.amazon.in/HAMMONDS-FLYCATCHER-Genuine-Shoulder-Messenger/dp/B07P2TQH78/ref=sr_1_55?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-55,4.3 out of 5 stars,"4,691"
Tommy Hilfiger Joshua 15 inch 21 Ltrs Light Grey Laptop Backpack (TH/JOSHUALAP07),"2,239",https://www.amazon.in/Hilfiger-Joshua-Backpack-TH-JOSHUALAP01/dp/B07N8GRWTZ/ref=sr_1_56?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-56,3.9 out of 5 stars,404
VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),899,https://www.amazon.in/VIP-Endura-Puller-Brown-Duffle/dp/B0B527KJQZ/ref=sr_1_57?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-57,4.3 out of 5 stars,407
Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,320,https://www.amazon.in/Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWMW646/ref=sr_1_58?crid=2M096C61O4MLT&keywords=bags&qid=1679597120&sprefix=ba%2Caps%2C283&sr=8-58,3.8 out of 5 stars,"1,324"
